fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
,Breeching Inlet,IfcFlowTerminal,IfcFireSuppressionTerminalType BREECHINGINLET,,,,,,YES
,Communications Outlet,IfcFlowTerminal,IfcOutletType COMMUNICATIONSOUTLET,,,,,,YES
,Cowl,IfcFlowTerminal,IfcStackTerminalType COWL,,,,,,YES
,Direct Water Heater,IfcFlowTerminal,IfcElectricApplianceType DIRECTWATERHEATER,,,,,,YES
,Dishwasher,IfcFlowTerminal,IfcElectricApplianceType DISHWASHER,,,,,,YES
,Electric Appliance,IfcFlowTerminal,IfcElectricApplianceType *,,,,,,YES
,Electric Cooker,IfcFlowTerminal,IfcElectricApplianceType ELECTRICCOOKER,,,,,,YES
,Electric Heater,IfcFlowTerminal,IfcElectricHeaterType *,,,,,,YES
,Electric Heater (Appliance),IfcFlowTerminal,IfcElectricApplianceType ELECTRICHEATER,,,,,,YES
,Facsimile,IfcFlowTerminal,IfcElectricApplianceType FACSIMILIE,,,,,,YES
,Fire Hydrant,IfcFlowTerminal,IfcFireSuppressionTerminalType FIREHYDRANT,,,,,,YES
,Fire Suppression Terminal,IfcFlowTerminal,IfcFireSuppressionTerminalType *,,,,,,YES
,Flow Terminal,IfcFlowTerminal,IfcFlowTerminalType,,,,,,YES
,Floor Trap,IfcFlowTerminal,IfcWasteTerminalType FLOORTRAP,,,,,,YES
,Floor Waste,IfcFlowTerminal,IfcWasteTerminalType FLOORWASTE,,,,,,YES
,Freezer,IfcFlowTerminal,IfcElectricApplianceType FREEZER,,,,,,YES
,Hose Reel,IfcFlowTerminal,IfcFireSuppressionTerminalType HOSEREEL,,,,,,YES
,Lamp,IfcFlowTerminal,IfcLampType *,,,,,,YES
,Light Fixture,IfcFlowTerminal,IfcLightFixtureType *,,,,,,YES
,Outlet,IfcFlowTerminal,IfcOutletType *,,,,,,YES
,Power Outlet,IfcFlowTerminal,IfcOutletType POWEROUTLET,,,,,,YES
,Rainwater Downpipe,IfcFlowTerminal,IfcStackTerminalType RAINWATERHOPPER,,,,,,YES
,Rainwater Hopper,IfcFlowTerminal,IfcStackTerminalType,,,,,,YES
,Sanitary Terminal,IfcFlowTerminal,IfcSanitaryTerminalType *,,,,,,YES
,Sink,IfcFlowTerminal,IfcSanitaryTerminalType SINK,,,,,,YES
,Sprinkler,IfcFlowTerminal,IfcFireSuppressionTerminalType SPRINKLER,,,,,,YES
,Stack Terminal,IfcFlowTerminal,IfcStackTerminalType *,,,,,,YES
,Telephone,IfcFlowTerminal,IfcElectricApplianceType TELEPHONE,,,,,,YES
,Toilet Pan,IfcFlowTerminal,IfcSanitaryTerminalType TOILETPAN,,,,,,YES
,Tumble Dryer,IfcFlowTerminal,IfcElectricApplianceType TUMBLEDRYER,,,,,,YES
,TV,IfcFlowTerminal,IfcElectricApplianceType TV,,,,,,YES
,Urinal,IfcFlowTerminal,IfcSanitaryTerminalType URINAL,,,,,,YES
,Vending Machine,IfcFlowTerminal,IfcElectricApplianceType VENDINGMACHINE,,,,,,YES
